features,importance
type,0.1938618026622234
second,0.024739695501225553
click,0.21413656687528088
becaus,0.05285110624326326
billion,0.6009888464815161
check new,0.036457346816559044
com make,0.04940213662503265
free,0.7205759058719812
day,0.04407070184336072
youtub,2.4613423216686003
new,0.8543901789282975
make month,0.07931859043512693
girl,0.11980169276717424
check video,1.430371223101226
check channel,0.1583836380238293
rap,0.05737668871381974
make money onlin,0.0288243052153826
year old,0.06869248251500452
work home,0.011836419651189388
nice,0.15397042744697398
beauti,0.05536215334129983
sub,0.3921791761714793
mani,0.051750166140042894
shit,0.19746804426260295
heard,0.005048243389795915
sorri,0.01621395132553053
advertis,0.024733179746229423
websit,0.3440030502861224
awesom,0.1848690925118807
mean,0.06593317283713153
music,0.2684326605616206
ha,0.19128861098327482
ref,0.486468734611225
billion view,0.12323549524787707
check extraordinari websit,0.0012100488005671794
check new mixtap,0.021608415379689334
post,0.04237620239676852
money onlin,0.0
eminem,0.19979729886327602
video,1.5151910162894762
like,0.815319993282574
subscrib channel,0.7289881531986594
style,0.02138485381897146
realli,0.15982881082805786
facebook,0.4229173004736125
best song,0.03695542468939544
money,1.372700412402962
hey,0.7659613208853536
rapper,0.0235988019305524
song,1.568672559039628
watch video,0.10185679046655087
love,1.210966964571176
twitter,0.2808252367812551
today,0.0539566503824656
start,0.12963672783457036
subscrib,10.624519897115615
omg,0.04718919974536728
want,0.1407575131240663
remix,0.003810076938745753
vote,0.14095795229725172
whi,0.39347313888443947
great,0.08401165076819819
hit,0.05825879787804026
plz,0.13478861641733583
psi,0.09971549211187193
spam,0.0011627078156249003
kati,0.21045571170982139
playlist,0.9732870076293304
don,0.08352856794180508
dream,0.05777242234035106
wa,0.35139266324943985
doe,0.03341453748536562
channel,3.615853498847685
hello,0.06692106514224205
visit,0.367438964789879
work,0.1106627428964169
shakira,0.24457416626756526
way,0.042441339825438344
day_group_weekday,0.9691947980064288
day_group_weekend,0.8751440928130665
thank,0.7486954321421385
watch,0.5485880086261676
perri,0.16360184369601707
look,0.16645326188602838
waka,0.06598555532258989
everyon,0.08693487938810046
lyric,0.020926951921002593
like comment,1.2643823176948839
cover,0.25971851179961314
think,0.09000797877523783
fan,0.07034952373374045
make,0.31932268005786946
world,0.21226961495017252
thumb,1.2610673378948374
tri,0.04440779150720926
best,0.4120390026321837
hate,0.1064866077229962
zonepa,0.0
check,11.31150757666835
comment,0.4795504642246529
lot,0.09094973962519445
need,0.0475479758158303
danc,0.10140626252174646
good,0.3506055059204969
old,0.02876717719163883
realli appreci,0.005888567464495393
kati perri,0.16613232176190743
month,0.13755358539689408
time,0.07646790202292295
friend,0.08995572680571934
love song,0.13667438799678194
right,0.024973092523805175
help,1.2278999717643124
view,2.1155751880855282
support,0.10492180564312292
plea check,0.10835273586504303
check music,0.11678497303160332
plea subscrib,0.29912005547260195
traffic_group_peak,0.39402282324418153
quot,0.16185224056871633
veri,0.14005624771066247
rock,0.036119949283078316
just,0.394418345892309
believ,0.03159621225994155
million,0.039480998103768136
amp,0.2701427640711322
share,1.3545299543482938
come,0.1622048495593229
shuffl,0.02612968543676863
funni,0.05719740918518816
pray,0.04000291509324167
guy check,0.02720821171130212
cool,0.03805990112134302
dont,0.16849281331766347
boy,0.019433555206994593
hey guy,0.2919690142632278
know,0.2233989493119254
singer,0.028980247848452597
life,0.02323051731689368
thing,0.07689559146736215
subscrib like,0.07123451047349835
year,0.07341498721361081
page,0.49770292228792073
got,0.04605829838025374
moneygq,0.0
rihanna,0.029655001664652316
ani,0.04356297554989817
video youtub,1.739391733614725
traffic_group_unknown_time,6.793117155623691
lol,0.09238601408297577
make money,0.30307342488885436
onli,0.10662792929595352
plea,4.529371047490845
com,1.1276381007714111
anyon,0.009360706477680444
god,0.01712214185664302
everi,0.06576426309520306
parti,0.04560254156169069
listen,0.08140092794886986
fuck,0.06458915296694563
peopl,0.2679639250279442
home,0.2491274393761067
guy,0.6512871118556159
hope,0.004329357118693241
hear,0.031915959564213114
chanc,0.0259038838043222
roar,0.027722579711576184
everyday,0.0018498638126381508
live,0.050571323448618956
read,0.13248596965296827
onlin,0.14485657292751628
real,0.025562905105616852
wow,0.0771545113952473
say,0.04117497437283125
follow,0.3878971533408938
appreci,0.07406318735711787
url_presence,10.583230791118297
len_review,5.6456757307291205
